timestamp_utc,request_id,conversation_id,message_id,topic,provider,model,endpoint,input_tokens,cached_input_tokens,output_tokens,total_tokens,cost_usd,status_code,error_code,error_reason,time_taken_ms,billing_mode,user_id,application_id,region,streaming,retry_count,finish_reason
2026-09-04T00:00:02.860Z,req-41e8b791-4310-5f,conv-f873e299-052,msg-97fdb522-a4f9-5c,meeting_assistant,Anthropic,claude-haiku-3.5,/v1/chat/completions,2471,0,0,2471,0.001621,400,invalid_request,Request payload failed schema validation.,1210,Provisioned Throughput,usr-0163,app-enterprise-search,eu-central-1,true,0,error
2026-09-04T00:02:24.767Z,req-10e733bc-6510-50,conv-43172e50-5e2,msg-5316440f-c57a-5c,document_summarization,OpenAI,gpt-5-mini,/v1/chat/completions,2997,0,190,3187,0.001848,200,,,724,Provisioned Throughput,usr-0065,app-analytics-hub,us-west-2,true,0,tool_call
2026-09-04T00:03:19.780Z,req-f0e0d979-44ca-56,conv-d76824dd-eef,msg-287b1bd1-5ccb-58,general_chat,OpenAI,gpt-5-mini,/v1/chat/completions,469,0,521,990,0.001532,200,,,1568,Pay as you go,usr-0141,app-content-studio,eu-west-1,true,0,stop
2026-09-04T00:03:29.048Z,req-a06d7318-b092-59,conv-90c68cd1-5f4,msg-e16af772-05cb-5e,customer_support,OpenAI,gpt-5,/v1/chat/completions,1149,0,100,1249,0.007245,200,,,511,Pay as you go,usr-0023,app-sales-copilot,eu-west-1,true,1,stop
2026-09-04T00:05:16.727Z,req-643b0e03-e637-55,conv-32b1f5be-a2d,msg-52870bcb-3fbb-5e,sales_enablement,Anthropic,claude-haiku-3.5,/v1/chat/completions,850,343,983,1833,0.003613,200,,,2982,Provisioned Throughput,usr-0238,app-sales-copilot,ap-southeast-1,false,0,content_filter
2026-09-04T00:07:23.774Z,req-39d199d9-1fe4-51,conv-0783b416-6b7,msg-3c69d2c5-ec66-51,content_creation,OpenAI,gpt-5-mini,/v1/chat/completions,1597,0,383,1980,0.001877,200,,,1149,Pay as you go,usr-0161,app-support-copilot,us-east-1,false,1,tool_call
2026-09-04T00:07:45.441Z,req-65bed4ec-ef21-58,conv-0b6d403a-14b,msg-c600753a-2c19-50,knowledge_search,OpenAI,gpt-5,/v1/chat/completions,929,0,852,1781,0.017425,200,,,2522,Pay as you go,usr-0172,app-mobile-chat,eu-west-1,true,0,stop
2026-09-04T00:11:06.229Z,req-5f12f50c-0810-56,conv-21b7072f-718,msg-9e386f63-58ed-53,knowledge_search,OpenAI,gpt-5-mini,/v1/chat/completions,365,146,0,365,0.000153,400,invalid_request,Request payload failed schema validation.,42,Pay as you go,usr-0156,app-analytics-hub,ap-southeast-1,true,0,error
2026-09-04T00:11:13.030Z,req-b07ee0c1-5163-52,conv-174510cc-71e,msg-cc72092f-7626-53,security_review,OpenAI,gpt-5-mini,/v1/chat/completions,122,0,245,367,0.000661,200,,,657,Pay as you go,usr-0223,app-doc-intelligence,us-east-1,false,0,stop
2026-09-04T00:17:52.910Z,req-5cbb80c2-4214-57,conv-17bc9def-360,msg-5d5a72de-73de-53,knowledge_search,Azure OpenAI,gpt-4.1,/v1/chat/completions,2390,675,219,2609,0.005520,200,,,1291,Pay as you go,usr-0208,app-support-copilot,eu-central-1,true,0,stop
2026-09-04T00:18:22.117Z,req-c31d1c00-14aa-53,conv-714f086b-dcd,msg-4f700881-bcaa-50,translation,Google,gemini-2.5-flash,/v1/chat/completions,940,0,270,1210,0.000497,200,,,446,Provisioned Throughput,usr-0055,app-sales-copilot,us-east-1,true,0,stop
2026-09-04T00:19:33.450Z,req-0c9118b9-5e1a-57,conv-82f0b628-b56,msg-b17b97f4-191f-54,document_summarization,OpenAI,gpt-5-mini,/v1/chat/completions,267,0,504,771,0.001370,200,,,1270,Pay as you go,usr-0054,app-content-studio,us-east-1,true,0,stop
2026-09-04T00:20:38.559Z,req-957a9fef-9b2b-5a,conv-633486cc-882,msg-03f0a36e-7770-52,data_analysis,Anthropic,claude-sonnet-4,/v1/chat/completions,854,0,392,1246,0.006922,200,,,1772,Provisioned Throughput,usr-0098,app-analytics-hub,us-east-1,true,0,stop
2026-09-04T00:21:07.282Z,req-61d07493-d6c1-53,conv-5db1e9ee-61f,msg-af858d79-4a40-59,general_chat,Anthropic,claude-sonnet-4,/v1/chat/completions,1114,0,158,1272,0.005712,200,,,1039,Pay as you go,usr-0028,app-mobile-chat,us-east-1,false,0,stop
2026-09-04T00:23:07.182Z,req-cb61e7d7-0c4f-50,conv-c818f6f5-854,msg-5c002c3f-aae8-5d,knowledge_search,OpenAI,gpt-5,/v1/chat/completions,860,0,226,1086,0.006306,200,,,1141,Provisioned Throughput,usr-0121,app-analytics-hub,us-east-1,true,0,stop
2026-09-04T00:23:24.573Z,req-2d68c047-d798-5b,conv-bc2e9083-275,msg-2286d96c-5619-50,code_generation,Anthropic,claude-sonnet-4,/v1/chat/completions,477,109,253,730,0.004981,200,,,1536,Pay as you go,usr-0236,app-sales-copilot,us-east-1,true,0,stop
2026-09-04T00:23:38.213Z,req-851e5496-7118-5e,conv-3f7c1405-11d,msg-705077e2-76f5-51,content_creation,OpenAI,gpt-5,/v1/chat/completions,819,0,275,1094,0.008220,200,,,1743,Pay as you go,usr-0179,app-mobile-chat,us-east-1,false,0,stop
2026-09-04T00:23:41.478Z,req-bc9cbeeb-80ad-54,conv-caf77aa8-0bd,msg-1811a181-6db0-55,document_summarization,OpenAI,gpt-5-mini,/v1/chat/completions,372,88,102,474,0.000351,200,,,282,Provisioned Throughput,usr-0019,app-content-studio,eu-west-1,false,0,stop
2026-09-04T00:25:05.557Z,req-a34dc789-4a42-53,conv-1cb4f2da-f5c,msg-da1fb45d-edf4-58,customer_support,Anthropic,claude-sonnet-4,/v1/chat/completions,559,396,188,747,0.003606,200,,,1209,Pay as you go,usr-0056,app-enterprise-search,eu-central-1,true,0,stop
2026-09-04T00:25:31.428Z,req-91f0ed3b-013f-5a,conv-0b6d403a-14b,msg-c4bff7be-053e-57,security_review,Google,gemini-2.5-pro,/v1/chat/completions,2667,0,85,2752,0.007517,200,,,739,Pay as you go,usr-0031,app-mobile-chat,us-east-1,false,0,stop
2026-09-04T00:26:02.736Z,req-057cbf67-a814-54,conv-8f33c9a1-d83,msg-53d3c2c7-714b-57,translation,OpenAI,gpt-5,/v1/chat/completions,2754,2243,102,2856,0.006889,200,,,709,Pay as you go,usr-0193,app-sales-copilot,eu-west-1,true,0,stop
2026-09-04T00:26:54.038Z,req-0fec1fb1-2a69-56,conv-c31e5830-223,msg-50c3e811-8dc5-54,customer_support,Google,gemini-2.5-flash,/v1/chat/completions,706,83,117,823,0.000334,200,,,337,Pay as you go,usr-0009,app-sales-copilot,us-west-2,false,0,stop
2026-09-04T00:32:29.543Z,req-9a78ce4c-c3eb-54,conv-bbfdc644-4c2,msg-bfcf2846-63e0-54,security_review,OpenAI,gpt-5-mini,/v1/chat/completions,989,0,334,1323,0.001395,200,,,816,Pay as you go,usr-0075,app-content-studio,eu-west-1,false,1,stop
